,Reward
918,-1.4619162152874363
919,-1.4752828056457665
920,-1.6098481917742236
921,-1.4467763845721293
922,-1.456490330784469
923,-1.464224151891618
924,-1.5972187236715336
925,-1.4244817239614183
926,-1.6402941457411313
927,-1.375167955632472
928,-1.42287702467722
929,-1.639721247002211
930,-1.3722356390939532
931,-1.4225315903699371
932,-1.258102339861487
933,-1.3414658266422554
934,-1.4945513331594904
935,-1.5094399882288876
936,-1.506422392691669
937,-1.6630143981384418
938,-1.4695527250265252
939,-1.47806044504126
940,-1.4872488942635758
941,-1.3566652840809978
942,-1.502434829590852
943,-1.5215606640669057
944,-1.5210732849845578
945,-1.5210952371760507
946,-1.522302170553296
947,-1.5242783063403762
948,-1.6378030462019446
949,-1.497933853771056
950,-1.3433882940774224
951,-1.5110521460097028
952,-1.538029510534731
953,-1.5396216363925095
954,-1.5408637487964747
955,-1.5429136269051067
956,-1.5455040418444357
957,-1.6637503121682622
958,-1.5174303539549638
959,-1.5262713663555068
960,-1.5363754012240518
961,-1.5438109471773247
962,-1.6674026269230215
963,-1.5098295285055954
964,-1.5280818733797839
965,-1.5412095400330337
966,-1.5505109391123761
967,-1.6766219163122358
968,-1.5199933062091089
969,-1.540361946021787
970,-1.3930879435213068
971,-1.557939744422421
972,-1.5866846094373739
973,-1.5904673654785364
974,-1.4336193990893564
975,-1.6018819674769016
976,-1.3882029330311607
977,-1.4733292189984963
978,-1.5196979225828777
979,-1.3720873490221597
980,-1.5379913539047398
981,-1.841593226785926
982,-1.4862927765140852
983,-1.9421662047614028
984,-1.3784414450398796
985,-1.517406124893908
986,-1.561380948457603
987,-1.5824330150872747
988,-1.5957073913111597
989,-1.7374622616226008
990,-1.549521817413961
991,-1.779505993759504
992,-1.4903608148758103
993,-1.8575937851035784
994,-1.3938737716350036
995,-1.5240359146529368
996,-1.570483422570733
997,-1.7761146707643598
998,-1.5179255319181808
999,-1.5680974917790005
1000,0.019341512361505112
1001,0.0011442233883403432
1002,0.008589728001321071
1003,0.01998514467543805
1004,0.0591559514794915
1005,0.0030990556597967982
1006,0.03310663134084915
1007,0.12298121532413689
1008,-0.0383883956770827
1009,0.06171681099888168
1010,0.061528162610777634
1011,0.04142028310987912
1012,0.024575990730996197
1013,0.0216822706277398
1014,0.019479166810713586
1015,0.021663766253799153
1016,0.023845108176216788
1017,0.026022447258539135
1018,0.02819510530403599
1019,0.03036192244259448
1020,0.028184971868070296
1021,0.02600260219023995
1022,0.02814529385760274
1023,0.030272639328194968
1024,0.03237888650918946
1025,0.0344563175889659
1026,0.03220115044446507
1027,0.029929038888832086
1028,0.031890790486643346
1029,0.033772427019212674
1030,0.03554721630207032
1031,0.03718063239725336
1032,0.038628611109969076
1033,0.039835787279948846
1034,0.040733893906869253
1035,0.03749167603602266
1036,0.03767318996540872
1037,0.03729760671561811
1038,0.03625822533411807
1039,0.03445238916979562
1040,0.03179541180520498
1041,0.028237682641522755
1042,0.023782233735274792
1043,0.01849797437407879
